survey,item_con,item,variable,values,nonresponses
afrob1,threestate_dcn,threestate_afrob,supdem,c(3:1),"c(4,98)"
afrob1,strong5,strong_afrob,rejdic,c(5:1),"c(6,98)"
afrob1,army_approve5,army_afrob,rejmil,c(5:1),"c(6,98)"
afrob1,oneparty_bad5,party_afrob,rejone,c(5:1),"c(6,98)"
afrob2,threestate_dcn,threestate_afrob,q38,"c(2,1,3)","c(9,98)"
afrob2,strong5,strong_afrob,q35d,c(5:1),"c(9,98)"
afrob2,army_approve5,army_afrob,q35c,c(5:1),"c(9,98)"
afrob2,oneparty_bad5,party_afrob,q35a,c(5:1),"c(9,98)"
afrob3,threestate_dcn,threestate_afrob,q37,"c(2,1,3)","c(9,998)"
afrob3,strong5,strong_afrob,q36c,c(5:1),"c(9,98)"
afrob3,army_approve5,army_afrob,q36b,c(5:1),"c(9,98)"
afrob3,oneparty_bad5,party_afrob,q36a,c(5:1),"c(9,98)"
afrob4,threestate_dcn,threestate_afrob,q30,"c(2,1,3)","c(9,998)"
afrob4,strong5,strong_afrob,q29c,c(5:1),"c(9,998)"
afrob4,army_approve5,army_afrob,q29b,c(5:1),"c(9,998)"
afrob4,oneparty_bad5,party_afrob,q29a,c(5:1),"c(9,998)"
afrob5,threestate_dcn,threestate_afrob,q32,"c(2,1,3)","c(9,998)"
afrob5,strong5,strong_afrob,q31c,c(5:1),"c(9,998)"
afrob5,army_approve5,army_afrob,q31b,c(5:1),"c(9,998)"
afrob5,oneparty_bad5,party_afrob,q31a,c(5:1),"c(9,998)"
afrob6,threestate_dcn,threestate_afrob,q30,"c(2,1,3)","c(9,98)"
afrob6,strong5,strong_afrob,q28c,c(5:1),"c(9,98)"
afrob6,army_approve5,army_afrob,q28b,c(5:1),"c(9,98)"
afrob6,oneparty_bad5,party_afrob,q28a,c(5:1),"c(9,98)"
afrob7,threestate_dcn,threestate_afrob,q28,"c(2,1,3)","c(9,8)"
afrob7,strong5,strong_afrob,q27c,c(5:1),"c(9,8)"
afrob7,army_approve5,army_afrob,q27b,c(5:1),"c(9,8)"
afrob7,oneparty_bad5,party_afrob,q27a,c(5:1),"c(9,8)"
amb_argentina2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_argentina2010,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_argentina2010,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_argentina2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_argentina2012,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_argentina2012,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_argentina2014,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
